ticker,company,aliases,ambiguity,ambiguous_aliases,kind,notes
A,Agilent,Agilent Technologies,high,,equity,single letter and the most common English article
AAL,American Airlines,American Airlines,medium,,equity,
AAPL,Apple,Apple|Apple Inc|Apple Computer,low,Apple,equity,company alias Apple collides with the fruit
ABBV,AbbVie,AbbVie,low,,equity,S&P 500 constituent
ABNB,Airbnb,Airbnb,low,,equity,S&P 500 constituent
ABT,Abbott Laboratories,Abbott Laboratories,medium,,equity,S&P 500 constituent
ACGL,Arch Capital Group,Arch Capital|Arch Capital Group,low,,equity,S&P 500 constituent
ACN,Accenture,Accenture,medium,,equity,S&P 500 constituent
ADBE,Adobe Inc.,Adobe|Adobe Inc.,low,,equity,S&P 500 constituent
ADI,Analog Devices,Analog Devices,medium,,equity,S&P 500 constituent
ADM,Archer Daniels Midland,Archer Daniels Midland,medium,,equity,S&P 500 constituent
ADP,Automatic Data Processing,Automatic Data Processing,medium,,equity,S&P 500 constituent
ADSK,Autodesk,Autodesk,low,,equity,S&P 500 constituent
AEE,Ameren,Ameren,medium,,equity,S&P 500 constituent
AEP,American Electric Power,American Electric Power,medium,,equity,S&P 500 constituent
AES,AES Corporation,AES|AES Corporation,medium,,equity,S&P 500 constituent
AFL,Aflac,Aflac,medium,,equity,S&P 500 constituent
AIG,American International Group,American International|American International Group,medium,,equity,S&P 500 constituent
AIZ,Assurant,Assurant,medium,,equity,S&P 500 constituent
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher &|Arthur J. Gallagher & Co.,medium,,equity,S&P 500 constituent
AKAM,Akamai Technologies,Akamai Technologies,low,,equity,S&P 500 constituent
ALB,Albemarle Corporation,Albemarle|Albemarle Corporation,medium,,equity,S&P 500 constituent
ALGN,Align Technology,Align Technology,low,,equity,S&P 500 constituent
ALL,Allstate,Allstate,high,,equity,ALL is one of the most common English words
ALLE,Allegion,Allegion,low,,equity,S&P 500 constituent
AMAT,Applied Materials,Applied Materials,low,,equity,S&P 500 constituent
AMCR,Amcor,Amcor,low,,equity,S&P 500 constituent
AMD,Advanced Micro Devices,AMD,low,,equity,
AME,Ametek,Ametek,medium,,equity,S&P 500 constituent
AMGN,Amgen,Amgen,low,,equity,S&P 500 constituent
AMP,Ameriprise Financial,Ameriprise Financial,medium,,equity,S&P 500 constituent
AMT,American Tower,American Tower,medium,,equity,S&P 500 constituent
AMZN,Amazon,Amazon,medium,Amazon,equity,Amazon is also a river and a region
ANET,Arista Networks,Arista Networks,low,,equity,S&P 500 constituent
AON,Aon plc,Aon|Aon plc,medium,,equity,S&P 500 constituent
AOS,A. O. Smith,A. O. Smith,medium,,equity,S&P 500 constituent
